datetime,city,junction_id,junction_name,vehicle_count
2026-03-02 00:00:00.580880,Bangalore,1,Whitefield,24
2026-03-02 00:00:00.580880,Bangalore,2,Koramangala,47
2026-03-02 00:00:00.580880,Bangalore,3,IndiranagAr,45
2026-03-02 00:00:00.580880,Bangalore,4,MG Road,35
2026-03-02 01:00:00.580880,Bangalore,1,Whitefield,22
2026-03-02 01:00:00.580880,Bangalore,2,Koramangala,10
2026-03-02 01:00:00.580880,Bangalore,3,IndiranagAr,12
2026-03-02 01:00:00.580880,Bangalore,4,MG Road,26
2026-03-02 02:00:00.580880,Bangalore,4,MG Road,13
2026-03-02 02:00:00.580880,Bangalore,3,IndiranagAr,30
2026-03-02 02:00:00.580880,Bangalore,1,Whitefield,13
2026-03-02 02:00:00.580880,Bangalore,2,Koramangala,25
2026-03-02 03:00:00.580880,Bangalore,1,Whitefield,15
2026-03-02 03:00:00.580880,Bangalore,2,Koramangala,30
2026-03-02 03:00:00.580880,Bangalore,3,IndiranagAr,11
2026-03-02 03:00:00.580880,Bangalore,4,MG Road,11
2026-03-02 04:00:00.580880,Bangalore,4,MG Road,36
2026-03-02 04:00:00.580880,Bangalore,1,Whitefield,10
2026-03-02 04:00:00.580880,Bangalore,2,Koramangala,15
2026-03-02 04:00:00.580880,Bangalore,3,IndiranagAr,36
2026-03-02 05:00:00.580880,Bangalore,4,MG Road,28
2026-03-02 05:00:00.580880,Bangalore,3,IndiranagAr,56
2026-03-02 05:00:00.580880,Bangalore,1,Whitefield,20
2026-03-02 05:00:00.580880,Bangalore,2,Koramangala,25
2026-03-02 06:00:00.580880,Bangalore,1,Whitefield,99
2026-03-02 06:00:00.580880,Bangalore,2,Koramangala,77
2026-03-02 06:00:00.580880,Bangalore,3,IndiranagAr,99
2026-03-02 06:00:00.580880,Bangalore,4,MG Road,81
2026-03-02 07:00:00.580880,Bangalore,4,MG Road,315
2026-03-02 07:00:00.580880,Bangalore,1,Whitefield,294
2026-03-02 07:00:00.580880,Bangalore,2,Koramangala,281
2026-03-02 07:00:00.580880,Bangalore,3,IndiranagAr,313
2026-03-02 08:00:00.580880,Bangalore,4,MG Road,402
2026-03-02 08:00:00.580880,Bangalore,3,IndiranagAr,424
2026-03-02 08:00:00.580880,Bangalore,2,Koramangala,428
2026-03-02 08:00:00.580880,Bangalore,1,Whitefield,418
