datetime,city,junction_id,junction_name,vehicle_count
2026-03-02 00:00:00.900615,Hyderabad,1,Gachibowli,36
2026-03-02 00:00:00.900615,Hyderabad,2,Hitech City,28
2026-03-02 00:00:00.900615,Hyderabad,3,Secunderabad,48
2026-03-02 00:00:00.900615,Hyderabad,4,Kukatpally,55
2026-03-02 01:00:00.900615,Hyderabad,1,Gachibowli,37
2026-03-02 01:00:00.900615,Hyderabad,2,Hitech City,10
2026-03-02 01:00:00.900615,Hyderabad,3,Secunderabad,10
2026-03-02 01:00:00.900615,Hyderabad,4,Kukatpally,10
2026-03-02 02:00:00.900615,Hyderabad,4,Kukatpally,10
2026-03-02 02:00:00.900615,Hyderabad,3,Secunderabad,38
2026-03-02 02:00:00.900615,Hyderabad,1,Gachibowli,13
2026-03-02 02:00:00.900615,Hyderabad,2,Hitech City,34
2026-03-02 03:00:00.900615,Hyderabad,1,Gachibowli,32
2026-03-02 03:00:00.900615,Hyderabad,2,Hitech City,11
2026-03-02 03:00:00.900615,Hyderabad,3,Secunderabad,32
2026-03-02 03:00:00.900615,Hyderabad,4,Kukatpally,36
2026-03-02 04:00:00.900615,Hyderabad,4,Kukatpally,14
2026-03-02 04:00:00.900615,Hyderabad,1,Gachibowli,42
2026-03-02 04:00:00.900615,Hyderabad,2,Hitech City,44
2026-03-02 04:00:00.900615,Hyderabad,3,Secunderabad,28
2026-03-02 05:00:00.900615,Hyderabad,4,Kukatpally,40
2026-03-02 05:00:00.900615,Hyderabad,3,Secunderabad,43
2026-03-02 05:00:00.900615,Hyderabad,1,Gachibowli,28
2026-03-02 05:00:00.900615,Hyderabad,2,Hitech City,37
2026-03-02 06:00:00.900615,Hyderabad,1,Gachibowli,71
2026-03-02 06:00:00.900615,Hyderabad,2,Hitech City,62
2026-03-02 06:00:00.900615,Hyderabad,3,Secunderabad,66
2026-03-02 06:00:00.900615,Hyderabad,4,Kukatpally,85
2026-03-02 07:00:00.900615,Hyderabad,4,Kukatpally,317
2026-03-02 07:00:00.900615,Hyderabad,1,Gachibowli,298
2026-03-02 07:00:00.900615,Hyderabad,2,Hitech City,296
2026-03-02 07:00:00.900615,Hyderabad,3,Secunderabad,301
